Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma
25	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.579957
500	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.601514
800	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.6171629999999997
900	0.5224	0.1761	0.1865	0.0077	0.0244	0.0478	0.003	0.0	0.006500000000000001	0.0001	0.0255	0.0	0.0	0.0	0.0	0.0	3.6241230000000004
1000	0.5652	0.14880000000000002	0.1515	0.0069	0.024	0.06860000000000001	0.0053	0.0	0.0083	0.0001	0.0214	0.0	0.0	0.0	0.0	0.0	3.631554
1100	0.5976	0.1263	0.118	0.005699999999999999	0.0229	0.0933	0.0086	0.0	0.0109	0.0001	0.0165	0.0	0.0	0.0	0.0	0.0	3.640283
25	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5822160000000003
300	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6004629999999995
500	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6039239999999997
600	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613174
700	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.620175
800	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.628654
900	0.6819	0.0	0.217	0.0119	0.0429	0.0392	0.0037	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.628654
1000	0.6977	0.0	0.1822	0.0108	0.0416	0.05690000000000001	0.006500000000000001	0.0	0.0042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.635811
1100	0.7081000000000001	0.0	0.14880000000000002	0.0094	0.0395	0.0788	0.0101	0.0	0.0054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6419129999999997
25	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.575709
300	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.589086
500	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5980540000000003
600	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.602693
700	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.607642
800	0.4504	0.23440000000000005	0.2237	0.0309	0.0	0.0516	0.009000000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6140489999999996
900	0.4819	0.2132	0.20010000000000006	0.029	0.0	0.0632	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6213269999999995
1000	0.5332	0.17629999999999998	0.1545	0.0241	0.0	0.08789999999999999	0.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.631208
25	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5804440000000004
300	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.592867
500	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6008940000000003
600	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.605062
700	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6104010000000004
800	0.5397	0.1032	0.2544	0.0295	0.0378	0.026	0.0042	0.0	0.0051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6167290000000003
