Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium
25	0.6788	0.0654	0.0236	0.002	0.0178	0.1631	0.0172	0.0	0.0291	0.0005	0.0025	0.0	0.0	0.0
500	0.6788	0.0654	0.0236	0.002	0.0178	0.1631	0.0172	0.0	0.0291	0.0005	0.0025	0.0	0.0	0.0
800	0.6788	0.0654	0.0236	0.002	0.0178	0.1631	0.0172	0.0	0.0291	0.0005	0.0025	0.0	0.0	0.0
900	0.674	0.06860000000000001	0.0255	0.002	0.0176	0.16269999999999998	0.0172	0.0	0.029500000000000002	0.0005	0.0024	0.0	0.0	0.0
1000	0.6657	0.0725	0.0274	0.0017000000000000001	0.017	0.1642	0.0176	0.0	0.031400000000000004	0.0005	0.002	0.0	0.0	0.0
1100	0.6596	0.07440000000000001	0.027000000000000003	0.0015	0.016	0.16579999999999998	0.0177	0.0	0.0358	0.0006	0.0016	0.0	0.0	0.0
25	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
300	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
500	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
600	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
700	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
800	0.7403	0.0	0.027999999999999997	0.0031	0.0275	0.1648	0.0213	0.0	0.015	0.0	0.0	0.0	0.0	0.0
900	0.7379000000000001	0.0	0.030600000000000002	0.003	0.027200000000000002	0.1649	0.0213	0.0	0.0151	0.0	0.0	0.0	0.0	0.0
1000	0.7329000000000001	0.0	0.0339	0.0028000000000000004	0.0262	0.16690000000000002	0.021400000000000002	0.0	0.016	0.0	0.0	0.0	0.0	0.0
1100	0.7295999999999999	0.0	0.0352	0.0024	0.024700000000000003	0.16949999999999998	0.0209	0.0	0.0176	0.0	0.0	0.0	0.0	0.0
25	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
500	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
600	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
700	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
800	0.6694	0.0755	0.026000000000000002	0.0079	0.0	0.1512	0.0701	0.0	0.0	0.0	0.0	0.0	0.0	0.0
900	0.6635	0.0784	0.0274	0.0074	0.0	0.1508	0.0726	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1000	0.6577	0.0808	0.0278	0.0060999999999999995	0.0	0.1481	0.0794	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
300	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
500	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
600	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
700	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
800	0.7011	0.033	0.0363	0.0075	0.0218	0.1423	0.0326	0.0	0.0253	0.0	0.0	0.0	0.0	0.0
900	0.6967	0.0344	0.0385	0.0073	0.0215	0.1431	0.032799999999999996	0.0	0.0256	0.0	0.0	0.0	0.0	0.0
1000	0.6908	0.0366	0.0416	0.0067	0.0207	0.1444	0.032799999999999996	0.0	0.0265	0.0	0.0	0.0	0.0	0.0
1100	0.6859000000000001	0.0377	0.0421	0.0059	0.019299999999999998	0.1481	0.032400000000000005	0.0	0.0286	0.0	0.0	0.0	0.0	0.0
