Temp	Nickel	Cobalt	Chromium	Molybdenum	Tungsten	Aluminium	Titanium	Niobium	Tantalum	Hafnium	Rhenium	Vanadium	Ferrite	Galium	Copper	Gold	AlphaGamma	AlphaGammaPrime	Phase
25	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.579957		$\gamma$
500	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.601514		$\gamma$
800	0.5011	0.1907	0.2018	0.0079	0.0244	0.0392	0.0022	0.0	0.0059	0.0001	0.0267	0.0	0.0	0.0	0.0	0.0	3.617163		$\gamma$
900	0.5224	0.1761	0.1865	0.0077	0.0244	0.0478	0.003	0.0	0.006500000000000001	0.0001	0.0255	0.0	0.0	0.0	0.0	0.0	3.624123		$\gamma$
1000	0.5652	0.14880000000000002	0.1515	0.0069	0.024	0.06860000000000001	0.0053	0.0	0.0083	0.0001	0.0214	0.0	0.0	0.0	0.0	0.0	3.631554		$\gamma$
1100	0.5976	0.1263	0.11800000000000001	0.005699999999999999	0.0229	0.0933	0.0086	0.0	0.0109	0.0001	0.0165	0.0	0.0	0.0	0.0	0.0	3.640283		$\gamma$
25	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5822160000000003		$\gamma$
300	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6004629999999995		$\gamma$
300	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6101		$\gamma$
500	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.603924		$\gamma$
500	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6202		$\gamma$
600	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.613174		$\gamma$
600	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6241		$\gamma$
700	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.620175		$\gamma$
700	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6301		$\gamma$
800	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.628654		$\gamma$
800	0.6739	0.0	0.2329	0.0123	0.0433	0.0319	0.0027	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6356		$\gamma$
900	0.6819	0.0	0.217	0.0119	0.0429	0.0392	0.0037	0.0	0.0034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.628654		$\gamma$
